,title,type,link
97,Sphinx / Alice Blue Gown,Single,https://rateyourmusic.com/release/single/original-dixieland-jazz-band/sphinx-alice-blue-gown/
98,Cairo / Rose Room,Single,https://rateyourmusic.com/release/single/art-hickmans-orchestra/cairo-rose-room/
99,Hold Me / Dance It Again with Me,Single,https://rateyourmusic.com/release/single/art-hickmans-orchestra/hold-me-dance-it-again-with-me/
100,Slow and Easy / Dance-O-Mania,Single,https://rateyourmusic.com/release/single/louisiana-five-jazz-orchestra-the-happy-six/slow-and-easy-dance-o-mania/
101,Whispering / The Japanese Sandman,Single,https://rateyourmusic.com/release/single/paul-whiteman-and-his-ambassador-orchestra/whispering-the-japanese-sandman/
102,Cuban Moon / The Love Boat,Single,https://rateyourmusic.com/release/single/carl-fentons-orchestra/cuban-moon-the-love-boat/
103,"Anytime, Anyday, Anywhere / Wang-Wang Blues",Single,https://rateyourmusic.com/release/single/paul-whiteman-orchestra/anytime-anyday-anywhere-wang-wang-blues/
104,Avalon - Just Like a Gypsy / Best Ever Medley: Dance of the Hours - Love in Idleness,Single,https://rateyourmusic.com/release/single/paul-whiteman-orchestra/avalon-just-like-a-gypsy-best-ever-medley-dance-of-the-hours-love-in-idleness/
105,Old Man Jazz / Why Cry Blues,Single,https://rateyourmusic.com/release/single/saxi-holtsworths-harmony-hounds-jimmy-durantes-jazz-band/old-man-jazz-why-cry-blues/
106,The Love Nest / Song of the Orient,Single,https://rateyourmusic.com/release/single/art-hickmans-orchestra/the-love-nest-song-of-the-orient/
107,Cuban Moon / In Old Manila,Single,https://rateyourmusic.com/release/single/art-hickmans-orchestra/cuban-moon-in-old-manila/
108,Think of Me Little Daddy / But,Single,https://rateyourmusic.com/release/single/wilbur-sweatmans-original-jazz-band/think-of-me-little-daddy-but/
109,The Road Is Rocky (But I Am Gonna Find My Way) / Fare Thee Honey Blues,Single,https://rateyourmusic.com/release/single/mamie-smith-and-her-jazz-hounds/the-road-is-rocky-but-i-am-gonna-find-my-way-fare-thee-honey-blues/
110,I Wish I Could Shimmie Like My Sister Kate / Lonesome Mamma Blues,Single,https://rateyourmusic.com/release/single/california-ramblers/i-wish-i-could-shimmie-like-my-sister-kate-lonesome-mamma-blues/
111,Margie / Palesteena,Single,https://rateyourmusic.com/release/single/original-dixieland-jazz-band/margie-palesteena/
112,Fancies / My Oriental Rose,Single,https://rateyourmusic.com/release/single/fletcher-henderson/fancies-my-oriental-rose/
113,Sweet Lady / Gypsy Blues,Single,https://rateyourmusic.com/release/single/fletcher-henderson/sweet-lady-gypsy-blues/
114,The Harlem Strut / Unknown Blues,Single,https://rateyourmusic.com/release/single/james-p-johnson-f-h-henderson/the-harlem-strut-unknown-blues/
115,Mon homme (My Man) / The Love Nest,Single,https://rateyourmusic.com/release/single/jack-hyltons-jazz-band/mon-homme-my-man-the-love-nest/
116,How Many Times? / Wimmin,Single,https://rateyourmusic.com/release/single/bailey’s-lucky-seven/how-many-times-wimmin/
117,Hugs and Kisses / South Sea Isles,Single,https://rateyourmusic.com/release/single/broadway-dance-orchestra/hugs-and-kisses-south-sea-isles/
118,June Night / The Grass Is Always Greener,Single,https://rateyourmusic.com/release/single/the-chiclet-orchestra-fletcher-henderson-and-his-orchestra/june-night-the-grass-is-always-greener/
119,The Hula Blues / I Love You Sunday,Single,https://rateyourmusic.com/release/single/ted-lewis-jazz-band/the-hula-blues-i-love-you-sunday/
120,Leave Me With a Smile / How Many Times,Single,https://rateyourmusic.com/release/single/the_happy_six/leave_me_with_a_smile___how_many_times/
121,"Granny / She Loves Me, She Loves Me Not",Single,https://rateyourmusic.com/release/single/the-columbians/granny-she-loves-me-she-loves-me-not/
122,Broadway Rose / Sweet Mamma (Papa's Getting Mad),Single,https://rateyourmusic.com/release/single/original-dixieland-jazz-band/broadway-rose-sweet-mamma-papas-getting-mad/
123,Grieving for You - Feather Your Nest / My Wonder Girl - Coral Sea,Single,https://rateyourmusic.com/release/single/paul-whiteman-orchestra/grieving-for-you-feather-your-nest-my-wonder-girl-coral-sea/
124,Just Snap Your Fingers at Care - Darling / Caresses,Single,https://rateyourmusic.com/release/single/paul-whiteman-orchestra/just-snap-your-fingers-at-care-darling-caresses/
125,"Anytime, Anyday, Anywhere / You and I",Single,https://rateyourmusic.com/release/single/art-hickmans-orchestra/anytime-anyday-anywhere-you-and-i/
126,Tired of Me / That Riga-liga-lee,Single,https://rateyourmusic.com/release/single/ted_lewis/tired_of_me___that_riga_liga_lee/
127,Margie / Broadway Rose,Single,https://rateyourmusic.com/release/single/ted-lewis-jazz-band/margie-broadway-rose/
