,title,type,link
815,Rockin' Doll / Please Love Me,Single,https://rateyourmusic.com/release/single/paul-hampton/rockin-doll-please-love-me/
816,Rock and Roll With The Coasters,EP,https://rateyourmusic.com/release/ep/the-coasters/rock-and-roll-with-the-coasters/
817,I'm Ready / Teenage Cutie,Single,https://rateyourmusic.com/release/single/cochran_brothers/im_ready___teenage_cutie/
818,Cindy Lou / Teardrops in My Eyes,Single,https://rateyourmusic.com/release/single/gene_terry/cindy_lou___teardrops_in_my_eyes/
819,The Freeze / Gonna Get a Little Kissin' Tonight,Single,https://rateyourmusic.com/release/single/tony-and-joe/the-freeze-gonna-get-a-little-kissin-tonight/
820,Playmates / The Weepers,Single,https://rateyourmusic.com/release/single/derrell_felts/playmates___the_weepers/
821,Everybody Boppin' / Tall Skinny Annie,Single,https://rateyourmusic.com/release/single/clayton_watson_f1/everybody_boppin___tall_skinny_annie/
822,White Bucks and Saddle Shoes / Stranded,Single,https://rateyourmusic.com/release/single/bobby-pedrick-jr/white-bucks-and-saddle-shoes-stranded/
823,Betty Ann / You Made a Fool Out of Me,Single,https://rateyourmusic.com/release/single/cruisers-us-60s/betty-ann-you-made-a-fool-out-of-me/
824,Be Bop a-Lula / Rip It Up,Single,https://rateyourmusic.com/release/single/the_everly_brothers/be_bop_a_lula___rip_it_up/
825,Crash the Party / Little Red Book,Single,https://rateyourmusic.com/release/single/benny_joy/crash_the_party___little_red_book/
826,The Blob / Do You Dig Me Mister Pigmy,Single,https://rateyourmusic.com/release/single/the-zanies/the-blob-do-you-dig-me-mister-pigmy/
827,I'm Gonna Let You Go / My One Desire,Single,https://rateyourmusic.com/release/single/hank_rector/im_gonna_let_you_go___my_one_desire/
828,Rock-It on Mars / Earthquake Boogie,Single,https://rateyourmusic.com/release/single/terry_dunavan/rock_it_on_mars___earthquake_boogie/
829,Flirty Gertie / Fire Engine Baby,Single,https://rateyourmusic.com/release/single/the_jiv_a_tones/flirty_gertie___fire_engine_baby/
830,Short Shorts / Planet Rock,Single,https://rateyourmusic.com/release/single/the-royal-teens/short-shorts-planet-rock/
